demand_mw,year,month,day,hour,minute,dow,is_weekend,roll_30min,roll_7d,roll_14d,roll_30d
7986.68,2012,5,12,13,0,5,1,7986.68,8372.69267857143,8331.22806547619,8186.791666666667
7861.89,2012,5,12,13,30,5,1,7861.89,8372.078928571429,8330.98513392857,8186.190513888889
7771.85,2012,5,12,14,0,5,1,7771.85,8371.366517857143,8330.710223214286,8185.523611111111
7737.27,2012,5,12,14,30,5,1,7737.27,8370.664702380953,8330.509642857141,8184.864875
7747.73,2012,5,12,15,0,5,1,7747.73,8370.13324404762,8330.285416666668,8184.231965277779
7765.67,2012,5,12,15,30,5,1,7765.67,8369.544434523808,8330.163675595239,8183.628722222222
7873.76,2012,5,12,16,0,5,1,7873.76,8369.055982142858,8330.1359375,8183.072493055556
8016.51,2012,5,12,16,30,5,1,8016.51,8368.693392857143,8330.180714285714,8182.588347222223
8323.93,2012,5,12,17,0,5,1,8323.93,8368.685446428572,8330.453735119047,8182.272444444445
8729.66,2012,5,12,17,30,5,1,8729.66,8368.919523809524,8331.021904761905,8182.149208333333
9329.88,2012,5,12,18,0,5,1,9329.88,8369.350982142858,8331.749404761904,8182.208604166667
9275.74,2012,5,12,18,30,5,1,9275.74,8369.328958333334,8332.229866071428,8181.972750000001
9094.89,2012,5,12,19,0,5,1,9094.89,8369.46130952381,8332.669836309526,8181.683722222221
8807.89,2012,5,12,19,30,5,1,8807.89,8369.45568452381,8333.12476190476,8181.374902777778
8621.29,2012,5,12,20,0,5,1,8621.29,8369.451428571429,8333.63081845238,8181.0869652777765
8541.74,2012,5,12,20,30,5,1,8541.74,8369.623273809524,8334.295252976191,8180.882041666666
8501.93,2012,5,12,21,0,5,1,8501.93,8369.950535714286,8335.066622023809,8180.7399097222215
8329.38,2012,5,12,21,30,5,1,8329.38,8370.06273809524,8335.724642857143,8180.641555555556
8197.21,2012,5,12,22,0,5,1,8197.21,8370.190833333332,8336.2903125,8180.613583333334
8232.83,2012,5,12,22,30,5,1,8232.83,8370.277976190477,8336.915104166666,8180.540916666668
8017.74,2012,5,12,23,0,5,1,8017.74,8370.036041666668,8337.368273809525,8180.435868055554
8025.84,2012,5,12,23,30,5,1,8025.84,8370.040654761906,8337.926324404762,8180.348993055555
7846.04,2012,5,13,0,0,6,1,7846.04,8369.952946428572,8338.366696428571,8180.195534722223
7596.32,2012,5,13,0,30,6,1,7596.32,8369.928035714285,8338.812351190476,8180.015736111111
7383.09,2012,5,13,1,0,6,1,7383.09,8369.827142857144,8339.275714285715,8179.859208333333
7177.64,2012,5,13,1,30,6,1,7177.64,8369.707023809524,8339.61568452381,8179.6928263888885
6993.14,2012,5,13,2,0,6,1,6993.14,8369.666428571429,8339.885357142857,8179.568979166666
6666.37,2012,5,13,2,30,6,1,6666.37,8369.570833333335,8340.129672619047,8179.419694444446
6427.74,2012,5,13,3,0,6,1,6427.74,8369.427440476189,8340.295104166666,8179.294055555556
6264.01,2012,5,13,3,30,6,1,6264.01,8369.189732142857,8340.414702380953,8179.207965277778
6191.28,2012,5,13,4,0,6,1,6191.28,8369.040416666667,8340.591636904763,8179.132756944445
6096.57,2012,5,13,4,30,6,1,6096.57,8368.579791666667,8340.564866071429,8178.980541666667
6128.18,2012,5,13,5,0,6,1,6128.18,8368.298452380952,8340.560833333333,8178.793743055556
6207.87,2012,5,13,5,30,6,1,6207.87,8367.941071428571,8340.555639880951,8178.469520833333
6314.84,2012,5,13,6,0,6,1,6314.84,8367.564880952381,8340.647619047619,8177.993013888889
6513.15,2012,5,13,6,30,6,1,6513.15,8367.211458333333,8340.719241071429,8177.286562499999
6687.24,2012,5,13,7,0,6,1,6687.24,8366.827202380951,8340.853645833333,8176.392055555554
7053.19,2012,5,13,7,30,6,1,7053.19,8366.711101190476,8341.164598214285,8175.564555555557
7546.25,2012,5,13,8,0,6,1,7546.25,8366.872589285715,8341.692336309523,8174.880548611111
7997.18,2012,5,13,8,30,6,1,7997.18,8367.220863095237,8342.368541666665,8174.4216875
8285.71,2012,5,13,9,0,6,1,8285.71,8367.609404761906,8343.050372023808,8174.073576388889
8430.09,2012,5,13,9,30,6,1,8430.09,8368.157738095239,8343.700610119049,8173.771541666666
